SiteID,Exp Unit ID,Treatment ID,Crop,Grain C kgC/ha,Above G Biomass kg/ha,Year,Tillage Descriptor,Cover Crop,Residue Removal,MAP mm,MAT degC,Total N Amount kgN/ha,Sand %,Clay %,Upper cm,Lower cm,Organic C gC/kg,pH,GS_P,GS_T
COFOARD4,COFOARD4_85A,COFOARD4_DM,Zea mays (Corn),4766,NA,2012,Strip Till,None,No,383,10.6,484.57,40.9,33.7,0,7.6,10.167621,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_85B,COFOARD4_DM+A,Zea mays (Corn),4556,NA,2012,Strip Till,None,No,383,10.6,479.84,40.9,33.7,0,7.6,10.167621,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_85D,COFOARD4_SUPRU,Zea mays (Corn),5008,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_85C,COFOARD4_Urea,Zea mays (Corn),5017,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_86A,COFOARD4_DM,Zea mays (Corn),4766,NA,2012,Strip Till,None,No,383,10.6,479.84,40.9,33.7,0,7.6,11.62756533,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_86B,COFOARD4_DM+A,Zea mays (Corn),4556,NA,2012,Strip Till,None,No,383,10.6,484.57,40.9,33.7,0,7.6,11.62756533,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_86C,COFOARD4_SUPRU,Zea mays (Corn),5008,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_86D,COFOARD4_Urea,Zea mays (Corn),5017,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_88E,COFOARD4_DM,Zea mays (Corn),4766,NA,2012,Strip Till,None,No,383,10.6,479.84,40.9,33.7,0,7.6,12.28777392,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_88D,COFOARD4_DM+A,Zea mays (Corn),4556,NA,2012,Strip Till,None,No,383,10.6,484.57,40.9,33.7,0,7.6,12.28777392,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_88A,COFOARD4_SUPRU,Zea mays (Corn),5008,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,12.28777392,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_88B,COFOARD4_Urea,Zea mays (Corn),5017,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,12.28777392,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_89D,COFOARD4_DM,Zea mays (Corn),4766,NA,2012,Strip Till,None,No,383,10.6,479.84,40.9,33.7,0,7.6,13.4324483,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_89E,COFOARD4_DM+A,Zea mays (Corn),4556,NA,2012,Strip Till,None,No,383,10.6,484.57,40.9,33.7,0,7.6,13.4324483,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_89C,COFOARD4_SUPRU,Zea mays (Corn),5008,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,13.4324483,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_89B,COFOARD4_Urea,Zea mays (Corn),5017,NA,2012,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,13.4324483,NA,132.8422657,17.98294082
COFOARD4,COFOARD4_85A,COFOARD4_DM,Zea mays (Corn),5389,NA,2013,Strip Till,None,No,383,10.6,346.33,40.9,33.7,0,7.6,10.167621,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_85B,COFOARD4_DM+A,Zea mays (Corn),5386,NA,2013,Strip Till,None,No,383,10.6,334.91,40.9,33.7,0,7.6,10.167621,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_85D,COFOARD4_SUPRU,Zea mays (Corn),5300,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_85C,COFOARD4_Urea,Zea mays (Corn),5188,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_86A,COFOARD4_DM,Zea mays (Corn),5389,NA,2013,Strip Till,None,No,383,10.6,334.91,40.9,33.7,0,7.6,11.62756533,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_86B,COFOARD4_DM+A,Zea mays (Corn),5386,NA,2013,Strip Till,None,No,383,10.6,346.33,40.9,33.7,0,7.6,11.62756533,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_86C,COFOARD4_SUPRU,Zea mays (Corn),5300,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_86D,COFOARD4_Urea,Zea mays (Corn),5188,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,270.7645415,16.7915157
