parameter,mean,sd,q2.5,q50,q97.5,rhat
Intercept,8.788416134264992,0.20086078240905816,8.391611856391998,8.788317229807841,9.183311425810952,1.0000460831361582
z_Total_N_Amount_kgN_per_ha,0.1281404846163969,0.008290813561857093,0.1118809378690875,0.12811023450207992,0.14434695013307144,1.0000131301430546
z_GS_P,0.08468220730287837,0.00552111000078809,0.07395151076927571,0.0846765423366391,0.09552242708391899,1.000299968531382
z_GS_T,-0.1313924856659319,0.005988410387784641,-0.1431057137656352,-0.1313703652377823,-0.11954326549380004,1.000000751779705
Crop_Pisum sativum (Pea),-0.12922935577142747,0.15032323065955394,-0.42347031042920164,-0.13032339291998823,0.160305583775908,0.9998413977920398
Crop_Triticum aestivum (Winter Wheat),0.11361657509729903,0.1518254804297545,-0.17814026655130014,0.11331706869259173,0.40835670493700166,0.9999785316686071
Crop_Zea mays (Corn),0.5535238427270047,0.01333699405867809,0.527667690055477,0.5536276280551453,0.5797149826485376,1.0000898537267588
Tillage Descriptor_Conventional Till,0.06912793016743936,0.020998018349568364,0.02818047569696606,0.06915664578559194,0.10960760210339639,1.0005711403687212
Tillage Descriptor_No Till,0.03259924775691196,0.02251277509596683,-0.011609244855880458,0.03251083299315015,0.0760232767181167,1.0000796743126643
Tillage Descriptor_Sub Till,0.0002370074189218443,0.027545939619570116,-0.0534938537446602,0.00014375620415960078,0.05473906253412343,1.0002400860739005
Residue Removal_Partial,0.0016638393590328838,0.025225500332931233,-0.04816764305185351,0.0015374766412842838,0.05113409430133617,1.0000361786049619
Residue Removal_Yes,0.0019985766124544792,0.030739246278487276,-0.059433811853890406,0.0027233545318447487,0.06069023580559743,0.9998539369476882
sigma,0.30238386805332407,0.0031948872161239052,0.2962296758400428,0.3023539202421842,0.30878709704441304,0.9999278313144067
tau_site,0.5083891792211678,0.1250921686900436,0.3290124429191799,0.48650706209989114,0.8092330131081479,1.0000097045250076
