parameter,mean,sd,q2.5,q50,q97.5,rhat
Intercept,7.007870738106205,0.25547675639065814,6.5023035534016795,7.007550114911307,7.510012772050007,0.999877147100899
z_Total_N_Amount_kgN_per_ha,0.12200093483767928,0.009561058401845906,0.10345721220627696,0.1219948061381409,0.14059656082569624,0.9999286890566718
z_GS_P,0.13439396829982062,0.006983315434808156,0.12084416321914881,0.13444697887414758,0.1481575509173905,0.9998377258534459
z_GS_T,-0.23118085788293746,0.007964771635021115,-0.24676925283466794,-0.2312182116033945,-0.2155646642756117,0.9998694645260136
Crop_Hordeum vulgare (Barley),0.15685702770020482,0.7729415749819935,-1.4000854637657527,0.15743382651152063,1.6762257400807372,0.9998751274449841
Crop_Pisum sativum (Pea),-0.035626419425195295,0.2039789949611614,-0.43184884386038475,-0.03508415789885344,0.37129633703434733,1.0003238308829687
Crop_Triticum aestivum (Winter Wheat),0.04540816313182393,0.2018693974394975,-0.34910941684844665,0.04580893737255222,0.44136156040231894,0.9999693047237731
Crop_Zea mays (Corn),0.5694625043366339,0.01740492970266525,0.5356517854282146,0.5694893570009776,0.6032450043996662,1.000587364576624
Tillage Descriptor_Conventional Till,0.05649012267136239,0.026067674466394842,0.0059056168204497566,0.056483453445425345,0.10722439338680638,0.9998500640053467
Tillage Descriptor_No Till,0.03969234159069733,0.02578740523125134,-0.010830068202772967,0.03971335158128385,0.09021282318275242,0.9998115733170733
Tillage Descriptor_Strip Till,0.4670861688776539,0.7571235762068423,-1.039504477138408,0.4665901561856959,1.95093639491949,0.9999257926441573
Tillage Descriptor_Sub Till,-0.07041034733938566,0.03547336105407953,-0.13881584401311414,-0.07042863397540684,-0.0005576165951532037,0.9998984768166999
Residue Removal_Partial,0.022927616056844017,0.02789771941476359,-0.031141830801739902,0.02270355618007137,0.07767688883851907,0.9998903085545972
Residue Removal_Yes,0.02370435392830159,0.031514888321981335,-0.038174084891800845,0.02364778468746688,0.08561244367095751,1.000550665877287
sigma,0.4079822102851787,0.004079827903832261,0.40008032061027826,0.4079763313781536,0.4160731201236054,0.999969194889661
tau_site,0.6899064431285762,0.16781236536954106,0.4519080992264567,0.6588533771744906,1.095101792245702,1.000074704377853
