,missing_count,missing_percent
Cover Crop,5729,99.1005016433143
Clay %,5680,98.25289742259125
Sand %,5464,94.51651963328143
Organic C gC/kg,5239,90.62445943608373
pH,1854,32.07057602490919
GS_T,812,14.046012800553537
z_GS_T,812,14.046012800553537
z_GS_P,800,13.838436256702993
GS_P,800,13.838436256702993
log_biomass,598,10.344231101885487
Above G Biomass kg/ha,598,10.344231101885487
Tillage Descriptor,0,0.0
Grain C kgC/ha,0,0.0
z_Total_N_Amount_kgN_per_ha,0,0.0
log_grain_c,0,0.0
Treatment ID,0,0.0
Crop,0,0.0
Lower cm,0,0.0
Year,0,0.0
Upper cm,0,0.0
Exp Unit ID,0,0.0
Total N Amount kgN/ha,0,0.0
MAT degC,0,0.0
MAP mm,0,0.0
Residue Removal,0,0.0
SiteID,0,0.0
