SiteID,n_observations,first_year,last_year,mean_grain_c,mean_biomass,mean_gs_p,mean_gs_t
NEMLTCRS,3104,1990,2012,2041.339181701031,9569.540354381445,507.5972257410296,19.632079817648208
NELITCSE,1213,1997,2013,2817.1830772560593,13678.448825591586,283.56704645048205,19.827171793242773
NEMEIRR,540,2001,2015,4518.625005212963,19748.802162698412,533.02916,19.663110508000003
IAAM7071,436,2008,2012,4005.18438291055,15592.173862707143,618.6914482758621,18.37601711218391
NEMERREM,216,2000,2011,2386.601716976389,11284.180013888888,520.4100166666666,19.702193286666667
SCFLSGI,100,2008,2012,2113.5804000000003,,,
IAAMBRUN,59,2008,2012,3305.9832203389833,14003.504166666666,656.4134915254238,18.406751205957445
COFOARD4,47,2012,2014,4985.340425531915,,224.13653338723407,17.100921447234043
SDaltrot,30,2006,2010,1812.6283333333333,9331.5,489.30559999999997,15.983443902
SDBRREAP,24,2008,2013,3166.972681083333,,0.0,4.7582967235
IDKM,12,2014,2014,1955.0251628333335,,49.28,17.80225556
